Date,last price
10/29/2009, 9.40 
10/30/2009, 9.50 
11/2/2009, 9.45 
11/3/2009, 9.60 
11/4/2009, 9.65 
11/5/2009, 9.55 
11/6/2009, 9.55 
11/9/2009, 9.85 
11/10/2009, 9.85 
11/11/2009, 10.00 
11/12/2009, 9.70 
11/13/2009, 10.45 
11/16/2009, 11.00 
11/17/2009, 10.75 
11/18/2009, 10.65 
11/19/2009, 10.65 
11/20/2009, 10.45 
11/23/2009, 10.65 
11/24/2009, 10.55 
11/25/2009, 10.60 
11/26/2009, 10.50 
11/27/2009, 10.40 
11/30/2009, 10.40 
12/1/2009, 10.80 
12/2/2009, 10.70 
12/3/2009, 10.85 
12/4/2009, 10.75 
12/8/2009, 10.65 
12/9/2009, 10.75 
12/11/2009, 10.80 
12/14/2009, 11.50 
12/15/2009, 11.55 
12/16/2009, 12.00 
12/17/2009, 11.80 
12/18/2009, 11.75 
12/21/2009, 11.60 
12/22/2009, 11.65 
12/23/2009, 11.70 
12/24/2009, 11.75 
12/25/2009, 11.80 
12/28/2009, 12.05 
12/29/2009, 12.20 
12/30/2009, 12.40 
1/4/2010, 12.20 
1/5/2010, 11.95 
1/6/2010, 11.85 
1/7/2010, 11.75 
1/8/2010, 12.00 
1/11/2010, 12.00 
1/12/2010, 12.50 
1/13/2010, 12.20 
1/14/2010, 12.15 
1/15/2010, 12.25 
1/18/2010, 12.15 
1/19/2010, 12.05 
1/20/2010, 12.10 
1/21/2010, 11.95 
1/22/2010, 11.80 
1/25/2010, 12.05 
1/26/2010, 11.80 
1/27/2010, 11.30 
1/28/2010, 11.40 
1/29/2010, 11.50 
2/1/2010, 11.55 
2/2/2010, 11.80 
2/3/2010, 11.90 
2/4/2010, 11.95 
2/5/2010, 11.65 
2/8/2010, 11.75 
2/9/2010, 11.80 
2/10/2010, 11.85 
2/11/2010, 11.85 
2/12/2010, 12.00 
2/15/2010, 11.85 
2/16/2010, 11.90 
2/17/2010, 12.05 
2/18/2010, 12.10 
2/19/2010, 11.95 
2/22/2010, 12.05 
2/23/2010, 12.10 
2/24/2010, 12.05 
2/25/2010, 11.85 
2/26/2010, 11.80 
3/2/2010, 11.90 
3/3/2010, 11.95 
3/4/2010, 11.80 
3/5/2010, 11.75 
3/8/2010, 11.70 
